content,title,viewcount,author_id
"'나대지'는 지상에 건축물이 없는 대지라고 하는데, 법적으로 일반 '대지'와 어떤 차이가 있으며, 세금이나 용도 활용에 어떤 영향을 미치나요?",'나대지'와 '대지'의 법적 차이점은 무엇인가요?,3,6
"두 정책 모두 월세 지원 관련인데, 동시에 신청하여 중복으로 혜택을 받을 수 있는지 알고 싶습니다.",'청년월세 지원사업'과 '기초청년 주거급여' 중복 혜택 가능한가요?,12,2
"청주리버파크자이 전세 들어가려는데, 보증금 32,000만원에 대한 전세 자금 대출 한도와 금리가 궁금합니다.","옥산면 청주리버파크자이 전세 대출 문의 (보증금 32,000만원)",1,2
"결로 현상이 발생했습니다. 이것이 수증기가 물방울로 되어 표면에 붙는 현상인데, 매도인에게 담보책임을 물을 수 있는 하자에 해당하는지 법적 조언을 구합니다.",'결로'가 건축물의 하자에 해당하여 '담보책임'을 물을 수 있나요?,3,3
"도심융합특구 조성으로 인해 수용되거나 보상 문제가 발생할 경우, 주민으로서 어떻게 대처해야 하나요?",'도심융합특구 조성'으로 인한 보상 문제 발생 시 대처 방안,4,4
소형 구축 아파트라 주차가 걱정입니다. 운천동거성하모니는 저녁 늦게 퇴근해도 주차할 자리가 충분한지 궁금합니다.,운천동 운천동거성하모니 주차 공간 부족 문제가 심각한가요?,7,5
"국민주택기금 지원으로 건설되는 주택이라고 하는데, 청약 시 국민주택과 민영주택 중 어느 것이 더 유리한지 궁금합니다.",'국민주택'과 '민영주택'의 차이점 및 청약 시 유리한 점,1,5
든든전세주택은 보증금 보호가 확실히 되나요? 전세 사기 위험에 대한 정부의 보호 장치가 궁금합니다.,'든든전세주택'의 보증금 안전성 및 전세사기 위험 여부,3,6
"청원쌍용예가1단지 84.95㎡ 평형 관리비가 평균적으로 얼마나 나오는지, 지역난방인지 개별난방인지도 궁금합니다.",강내면 청원쌍용예가1단지 관리비 얼마나 나오나요? (84.95㎡ 기준),4,6
"환지 처분으로 감소된 면적의 비율이라고 하는데, 재개발/재건축 시 감보율이 높으면 조합원에게 불리한가요?",'감보율'이 환지 방식 재개발에 미치는 영향은?,1,2
디딤돌 대출과 청약통장을 같이 활용하여 혜택을 극대화할 수 있는 방법이 있는지 궁금합니다.,'청년 주택드림 디딤돌 대출'과 '청년주택드림청약통장' 동시 활용 가능 여부,2,7
